Unique ID	Card Identifiers	Set Identifiers	Name	Pitch	Cost	Power	Defense	Health	Intelligence	Rarity	Types	Card Keywords	Abilities and Effects	Ability and Effect Keywords	Granted Keywords	Functional Text	Flavor Text	Type Text	Artists	Card Played Horizontally	Blitz Legal	CC Legal	Commoner Legal	Blitz Living Legend	CC Living Legend	Blitz Banned	CC Banned	Commoner Banned	Blitz Suspended Start	Blitz Suspended End	CC Suspended Start	CC Suspended End	Commoner Suspended Start	Commoner Suspended End	Variations	Image URLs			
tKCc7DBGwFBhmMgwBTtgg	LSS001	LSS	Ruu’di, Gem Keeper					40	4	P	Hero, Merchant		Once per Turn Action	Go again		"You may only have PSA graded cards in your deck.

**Once per Turn Action** - {r}: Reveal the top card of your deck. If it’s graded Gem Min 10, put it into your hand, otherwise each opponent may draw a card. **Go again**"		Hero – Merchant	Lius Lasahido		No	No	No												S – LSS001 – N	https://storage.googleapis.com/fabmaster/media/images/LSS001.width-450.png - LSS001 – N			
pjzhbKrPCtMwgPn6fczGM	LSS002	LSS	Go Bananas	2	0					P	Generic, Instant					Name an action card. Open and reveal a booster pack of Flesh and Blood and put all cards with the chosen name into your hand. If the booster pack does not contain a card with the chosen name, you may repeat this process.		Generic Instant	Rachel Alderson		No	No	No												R – LSS002 – N	https://storage.googleapis.com/fabmaster/media/images/LSS002-P.width-450.png - LSS002 – N			
gCdQtwfgKkTHBmrcMgc8w	LSS003	LSS	Taylor					18	4	P	Shapeshifter, Hero, Young					"You may have equipment of any class or talent in your inventory. Each equipment in your starting inventory must have a different name.

At the start of your turn, you may banish an equipment you control. If you do, equip a card of the same subtype from your inventory."		Shapeshifter Hero – Young	Andy Aslamov		No	No	No												C – LSS003 – N – DS	https://storage.googleapis.com/fabmaster/media/images/LSS003_A.width-450.png – LSS003 – N – DS			
7tPJf7tTtkLRKw8GRqFN7	LSS004	LSS	Yorick, Weaver of Tales					20	4	P	Bard, Hero, Young					At the start of the game, all heroes shuffle their starting decks together. All heroes share the same deck and graveyard this game.	A story of legend is said to be told; The dawn of a new age a sight to behold; From all corners of Rathe, heroes they came; The common language they spoke was that of great games.	Bard Hero – Young	Carlos Cruchaga		No	No	No												C – LSS004 – N – DS	https://storage.googleapis.com/fabmaster/media/images/LSS004_A.width-450.png – LSS004 – N – DS			
FbpKKfMfWfc6jFkWgJdrF	LSS005	LSS	Tales of Adventure	3	0		3			P	Bard, Action	Yorick Specialization				"**Yorick Specialization** *(You may only have Tales of Adventure in  your deck if your hero is Yorick.)*

Each other hero chooses and creates a token that hasn’t been chosen; Aether Ashwing, Embodiment of Earth, Embodiment of Lightning, Ponder, Quicken, Runechant, Seismic Surge, Soul Shackle, Spectral Shield, Zen State.

You create a Copper, Silver, and Gold."		Bard Action	Andy Aslamov		No	No	No												R – LSS005 – N – EA				
cftmjrrNkKwQhBtdBcm6F	FAB094	FAB	Hummingbird, Adventurer’s Call							P	Bard, Weapon, Lute, 2H					"At the start of your turn, choose 1;
- Each hero creates a Quicken token.
- Each hero draws a card.
- Each hero gains 1{h}."		Bard Weapon – Lute (2H)	Carlos Cruchaga																C – FAB094 – N – DS				
DJ6GKHm6jbBBBGkTQhJf7	JDG001, JDG002	JDG, JDG	Taipanis, Dracai of Judgement							P, P	Draconic, Adjudicator, Hero					The first time each turn another hero becomes the target of a source that would deal lethal damage, you may discard a red card. If you do, choose new targets for that source.		Draconic Adjudicator Hero	Federico Musetti		No	No	No												C – JDG001 – N – DS, R – JDG002 – N	https://storage.googleapis.com/fabmaster/media/images/image4.width-992.png – JDG002 – N			
hjG8MdcwdqmBt9M9BNTg6	BOL006, LEV005	BOL, LEV	Spell Fray Cloak				0			R, R	Generic, Equipment, Chest	Spellvoid 1				**Spellvoid 1** *(If your hero would be dealt arcane damage, you may destroy Spell Fray Chest instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Chest	Saad Irfan																S – BOL006 – N, S – LEV005 – N	https://storage.googleapis.com/fabmaster/media/images/BOL006.width-450.png – BOL006 – N, https://storage.googleapis.com/fabmaster/media/images/LEV005.width-450.png – LEV005 – N			
HCM6bGHBFzcpR6LJdQR96	CHN006	CHN	Spell Fray Gloves				0			R, R	Generic, Equipment, Arms	Spellvoid 1				**Spellvoid 1** *(If your hero would be dealt arcane damage, you may destroy Spell Fray Gloves instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Arms	Tian Thongjomroon																S – CHN006 – N	https://storage.googleapis.com/fabmaster/media/images/CHN006.width-450.png – CHN006 – N			
FJqPcF6nPdDz8Gw79NHLk	PSM007	PSM	Spell Fray Leggings				0			R	Generic, Equipment, Legs	Spellvoid 1				**Spellvoid 1** *(If your hero would be dealt arcane damage, you may destroy Spell Fray Leggings instead. If you do, prevent 1 arcane damage that source would deal.)*		Generic Equipment – Legs	Tian Thongjomroon																S – PSM007 – N	https://storage.googleapis.com/fabmaster/media/images/PSM007.width-450.png – PSM007 – N			
